Ticker,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Forecast Price (30d),Current Price,Forecast Change (%),Current Market Cap (B),Forecast Market Cap (B)
DECK,0.4182,0.1862,0.442,0.42,101.82,101.68000030517578,0.14,15.083516928,15.10428507456
DE,0.3959,0.1269,0.2926,0.43,510.14,510.3699951171875,-0.05,138.2219776,138.15968986112
DAL,0.3563,0.1603,0.4109,0.39,53.72,53.63999938964844,0.15,35.024130048,35.07636484096
DELL,1.9362,0.3783,0.4664,0.81,137.25,137.61000061035156,-0.26,93.07693056,46.757368152
XRAY,-0.7622,-0.2941,0.36,-0.82,12.98,12.960000038146973,0.15,2.585312768,2.58930232
DVN,0.4594,0.1844,0.4216,0.44,33.27,33.279998779296875,-0.03,21.126144,21.119796000000004
DXCM,-0.36,0.0128,0.4855,0.03,78.74,78.86000061035156,-0.15,30.925344768,30.878285329919997
FANG,1.144,0.2664,0.3851,0.69,142.01,142.02999877929688,-0.01,41.115697152,41.10990913216
DKS,1.2001,0.3019,0.4532,0.67,211.05,211.24000549316406,-0.09,16.918823936,11.929031415
DLR,0.2435,0.0995,0.2991,0.33,170.0,169.91000366210938,0.05,59.013480448,57.97849728
ECL,0.2999,0.0964,0.2466,0.39,272.59,272.8699951171875,-0.1,77.392748544,77.31333656928
EIX,0.132,0.0647,0.2577,0.25,53.67,53.77000045776367,-0.19,20.692523008,20.65403992128
EW,-0.299,-0.0259,0.3453,-0.08,78.36,78.3499984741211,0.01,45.99928832,46.005158507519994
ELAN,-0.4473,-0.0439,0.4645,-0.09,16.77,16.670000076293945,0.6,8.281889792,8.331571048319999
ESTC,-0.5149,0.0011,0.6097,0.0,74.73,74.51000213623047,0.3,7.863413248,7.88663055
EA,0.2333,0.0839,0.2473,0.34,167.26,167.63999938964844,-0.23,41.941200896,41.84962415808
ESI,0.0449,0.0648,0.3288,0.2,23.9,23.899999618530273,0.0,5.774646272,5.774646108799999
ELV,-0.1584,-0.0035,0.2804,-0.01,291.95,293.989990234375,-0.69,66.200076288,65.7407171
EME,4.1999,0.4674,0.3216,1.45,618.81,618.219970703125,0.1,27.67412224,27.700534601999998
EMR,0.3803,0.1162,0.2652,0.44,132.77,132.74000549316406,0.02,74.706075648,74.722956
EHC,0.9783,0.2062,0.263,0.78,117.15,117.58000183105469,-0.37,11.84312832,11.7998166
ENOV,-0.6689,-0.2149,0.3555,-0.6,28.53,28.440000534057617,0.32,1.625624704,1.629722043
ENPH,-0.8211,-0.2035,0.6738,-0.3,32.46,32.439998626708984,0.06,4.241562368,4.24417746
ENTG,-0.3448,0.0231,0.5091,0.05,73.09,73.13999938964844,-0.07,11.073395712,11.065826
ETR,0.9219,0.191,0.2309,0.83,90.46,90.47000122070312,-0.01,40.38662144,40.38215741632
NVST,-0.4943,-0.1079,0.3578,-0.3,20.25,20.239999771118164,0.05,3.363523584,3.3651855
EOG,1.039,0.2368,0.3386,0.7,116.26,116.27999877929688,-0.02,63.488069632,63.45319755008
EPAM,-0.7375,-0.1623,0.5679,-0.29,158.38,158.0,0.24,8.800110592,8.821275022
EPR,0.4333,0.1251,0.2625,0.48,53.92,53.849998474121094,0.13,4.09887872,4.104207072
EQT,1.9051,0.3675,0.4448,0.83,51.27,51.290000915527344,-0.04,32.0078848,31.995403620480005
EFX,-0.0499,0.0417,0.3306,0.13,239.89,239.80999755859375,0.03,29.543872512,29.55372833
EQIX,0.0316,0.0488,0.2867,0.17,776.13,776.2000122070312,-0.01,75.96204032,75.95518632
EQH,0.7795,0.1995,0.3298,0.6,51.82,51.97999954223633,-0.31,15.68236544,15.634094
ELS,-0.1857,-0.0251,0.2312,-0.11,60.32,60.150001525878906,0.28,12.204073984,11.6894128
EQR,-0.1026,-0.0004,0.2319,-0.0,63.19,63.20000076293945,-0.02,24.873117696,24.13213360896
ESAB,1.2479,0.3078,0.3615,0.85,113.37,111.12999725341797,2.02,6.7454464,6.881411619
WTRG,-0.1097,-0.0038,0.2259,-0.02,38.77,38.779998779296875,-0.03,10.876587008,10.87378281984
ESS,-0.0683,0.013,0.2478,0.05,254.44,254.58999633789062,-0.06,17.58414848,16.38695376
EL,-0.7051,-0.2127,0.4296,-0.49,90.69,90.69000244140625,-0.0,32.62590976,21.2405049
ETSY,-0.6848,-0.1376,0.5529,-0.25,60.54,60.90999984741211,-0.61,6.036704768,6.000034644
HHH,-0.1937,-0.0043,0.3159,-0.01,70.9,71.08999633789062,-0.27,4.222831104,4.2115450800000005
HWM,4.5997,0.4855,0.3227,1.5,180.59,180.75,-0.09,72.865030144,72.80052722944001
HPQ,-0.0167,0.0562,0.3481,0.16,26.05,26.110000610351562,-0.23,24.524419072,24.4680622752
HUBB,1.1732,0.2385,0.2937,0.81,420.15,418.6499938964844,0.36,22.247061504,22.326771
HUBS,-0.3242,0.0398,0.5267,0.08,452.3,449.7200012207031,0.57,23.69714176,23.83308913
HUM,-0.3189,-0.0348,0.3475,-0.1,266.55,266.67999267578125,-0.05,32.074135552,32.0585016
HBAN,0.2628,0.1112,0.3228,0.34,16.09,16.09000015258789,-0.0,23.58617088,23.58617087232
HII,0.3986,0.1334,0.3054,0.44,264.94,264.69000244140625,0.09,10.386594816,10.396404564
HUN,-0.5728,-0.1526,0.351,-0.43,9.45,9.460000038146973,-0.11,1.643693952,1.6419563999999998
H,0.8932,0.2199,0.3444,0.64,135.89,135.86000061035156,0.02,12.972592128,5.699729392999999
IAC,-0.6759,-0.1964,0.4159,-0.47,34.43,34.16999816894531,0.76,2.73897472,2.560483354
IBM,1.0904,0.2131,0.2344,0.91,242.06,242.27000427246094,-0.09,225.67911424,225.48348333056
IDA,0.3238,0.0902,0.1978,0.46,124.56,124.58000183105469,-0.02,6.731418624,6.730338024
IEX,-0.2656,-0.0479,0.2432,-0.2,158.28,158.25999450683594,0.01,11.91496704,11.91647321088
IDXX,-0.0261,0.0585,0.3657,0.16,657.87,658.0599975585938,-0.03,52.64789504,52.63269462048
ITW,0.2127,0.0713,0.2134,0.33,256.9,256.989990234375,-0.04,74.912579584,74.88635
ILMN,-0.8096,-0.3133,0.4572,-0.69,94.66,94.55999755859375,0.11,14.96884736,14.984678
INCY,0.0753,0.0611,0.2927,0.21,78.36,78.38999938964844,-0.04,15.307685888,15.30182736
