Ticker,DCF Market Cap (B),DDM Market Cap (B),Multiples Market Cap (B),Median Market Cap (B),Current Price,Forecast Price (30d),Forecast Change (%),Current Market Cap (B),Forecast Market Cap (B)
DAR,28.94,,5.0,16.97,30.6299991607666,30.69,0.2,4.845237248,4.85472834
DAY,5.96,,3.27,4.615,51.16999816894531,51.3,0.25,8.171490304,8.1922504896
DDOG,-11.88,,3.09,-4.3950000000000005,130.91000366210938,131.16,0.19,45.654208512,41.905355581440006
DE,216.89,34.3,33.74,34.3,510.3699951171875,510.14,-0.05,138.2219776,138.15968986112
DECK,12.01,,16.86,14.434999999999999,101.68000030517578,101.82,0.14,15.083516928,15.10428507456
DELL,181.43,31.17,124.65,124.65,137.61000061035156,137.25,-0.26,93.07693056,46.757368152
DGX,63.1,26.78,21.31,26.78,176.9600067138672,176.56,-0.23,19.788197888,19.74346888
DHI,,10.88,57.7,34.29,156.5,156.3,-0.13,46.656405504,46.5967812
DHR,266.83,33.73,84.43,84.43,200.55999755859375,200.35,-0.1,143.611379712,143.4610117888
DIS,483.93,28.13,210.64,210.64,112.43000030517578,112.05,-0.34,202.141270016,201.45805470719998
DKS,44.71,8.41,19.46,19.46,211.24000549316406,211.05,-0.09,16.918823936,11.929031415
DLR,,29.99,9.86,19.924999999999997,169.91000366210938,170.0,0.05,59.013480448,57.97849728
DOX,33.08,,14.08,23.58,89.41000366210938,89.11,-0.34,9.944091648,9.91072509
DRI,53.63,41.64,15.34,41.64,202.0,202.47,0.23,23.552190464,23.60698965
DVA,78.97,,23.67,51.32,129.5,129.55,0.04,9.259249664,9.262825
DVN,,9.62,42.99,26.305,33.279998779296875,33.27,-0.03,21.126144,21.119796000000004
DXCM,29.37,,12.63,21.0,78.86000061035156,78.74,-0.15,30.925344768,30.878285329919997
EA,67.13,7.56,22.81,22.81,167.63999938964844,167.26,-0.23,41.941200896,41.84962415808
ECL,70.35,14.39,26.79,26.79,272.8699951171875,272.59,-0.1,77.392748544,77.31333656928
ED,413.29,55.16,25.26,55.16,104.4800033569336,104.46,-0.02,37.680922624,37.67370792
EFX,22.72,3.17,13.67,13.67,239.80999755859375,239.89,0.03,29.543872512,29.55372833
EHC,44.21,2.94,14.48,14.48,117.58000183105469,117.15,-0.37,11.84312832,11.7998166
EIX,432.38,27.14,17.76,27.14,53.77000045776367,53.67,-0.19,20.692523008,20.65403992128
EL,50.41,5.83,17.34,17.34,90.69000244140625,90.69,-0.0,32.62590976,21.2405049
ELAN,24.48,,7.53,16.005,16.670000076293945,16.77,0.6,8.281889792,8.331571048319999
ELS,22.23,8.93,4.29,8.93,60.150001525878906,60.32,0.28,12.204073984,11.6894128
ELV,,79.97,130.78,105.375,293.989990234375,291.95,-0.69,66.200076288,65.7407171
EME,12.04,0.74,16.52,12.04,618.219970703125,618.81,0.1,27.67412224,27.700534601999998
EMR,106.78,19.02,36.77,36.77,132.74000549316406,132.77,0.02,74.706075648,74.722956
ENOV,7.91,,3.4,5.655,28.440000534057617,28.53,0.32,1.625624704,1.629722043
ENPH,5.16,,4.2,4.68,32.439998626708984,32.46,0.06,4.241562368,4.24417746
ENTG,23.97,2.12,9.82,9.82,73.13999938964844,73.09,-0.07,11.073395712,11.065826
EOG,,44.78,77.37,61.075,116.27999877929688,116.26,-0.02,63.488069632,63.45319755008
EPAM,17.63,,11.45,14.54,158.0,158.38,0.24,8.800110592,8.821275022
EPR,,3.64,2.48,3.06,53.849998474121094,53.92,0.13,4.09887872,4.104207072
EQH,,7.4,32.79,20.095,51.97999954223633,51.82,-0.31,15.68236544,15.634094
EQIX,95.32,34.62,20.3,34.62,776.2000122070312,776.13,-0.01,75.96204032,75.95518632
EQR,48.62,19.16,10.31,19.16,63.20000076293945,63.19,-0.02,24.873117696,24.13213360896
EQT,112.97,10.01,21.65,21.65,51.290000915527344,51.27,-0.04,32.0078848,31.995403620480005
ESAB,3.93,0.41,4.38,3.93,111.12999725341797,113.37,2.02,6.7454464,6.881411619
ESI,8.07,1.29,3.23,3.23,23.899999618530273,23.9,0.0,5.774646272,5.774646108799999
ESS,37.95,13.4,5.52,13.4,254.58999633789062,254.44,-0.06,17.58414848,16.38695376
ESTC,-5.38,,0.19,-2.5949999999999998,74.51000213623047,74.73,0.3,7.863413248,7.88663055
ETR,310.06,28.74,21.44,28.74,90.47000122070312,90.46,-0.01,40.38662144,40.38215741632
ETSY,10.38,,3.78,7.08,60.90999984741211,60.54,-0.61,6.036704768,6.000034644
EW,-2.22,,26.51,12.145000000000001,78.3499984741211,78.36,0.01,45.99928832,46.005158507519994
FANG,353.77,18.41,48.35,48.35,142.02999877929688,142.01,-0.01,41.115697152,41.10990913216
FIX,9.96,1.0,10.9,9.96,691.760009765625,692.08,0.05,24.406331392,24.41762052
FTI,28.49,1.37,9.87,9.87,34.95000076293945,34.96,0.03,14.36500992,14.36911936
GLW,43.68,44.4,40.13,43.68,65.7699966430664,65.94,0.26,56.339828736,56.48545738751999
GOOG,3036.94,117.75,1842.16,1842.16,202.08999633789062,200.98,-0.55,2440.394964992,1091.32142572544
GOOGL,3036.94,126.15,1842.16,1842.16,201.4199981689453,200.26,-0.58,2439.619280896,1164.9124071833598
GWW,42.09,7.71,27.66,27.66,950.1300048828125,949.39,-0.08,45.446807552,45.411412358
H,-0.31,0.51,4.1,0.51,135.86000061035156,135.89,0.02,12.972592128,5.699729392999999
HBAN,,25.12,,25.12,16.09000015258789,16.09,-0.0,23.58617088,23.58617087232
HHH,26.91,,3.56,15.235,71.08999633789062,70.9,-0.27,4.222831104,4.2115450800000005
HII,24.83,12.73,7.34,12.73,264.69000244140625,264.94,0.09,10.386594816,10.396404564
HOOD,3.18,,,3.18,114.62999725341797,113.98,-0.57,101.868814336,88.21642036736
HPQ,124.58,33.47,60.04,60.04,26.110000610351562,26.05,-0.23,24.524419072,24.4680622752
HUBB,21.63,5.96,11.9,11.9,418.6499938964844,420.15,0.36,22.247061504,22.326771
HUBS,0.82,,0.71,0.7649999999999999,449.7200012207031,452.3,0.57,23.69714176,23.83308913
HUM,,33.11,62.19,47.65,266.67999267578125,266.55,-0.05,32.074135552,32.0585016
HUN,36.69,4.99,0.92,4.99,9.460000038146973,9.45,-0.11,1.643693952,1.6419563999999998
HWM,20.84,2.75,18.5,18.5,180.75,180.59,-0.09,72.865030144,72.80052722944001
IAC,0.54,,4.26,2.4,34.16999816894531,34.43,0.76,2.73897472,2.560483354
IBKR,12.2,2.95,,7.574999999999999,65.91000366210938,65.9,-0.02,112.03514368,29.3417778272
IBM,331.09,1489.77,157.64,331.09,242.27000427246094,242.06,-0.09,225.67911424,225.48348333056
ICE,93.2,25.22,40.5,40.5,186.39999389648438,186.25,-0.08,106.699636736,106.61377928
IDA,42.16,4.98,1.88,4.98,124.58000183105469,124.56,-0.02,6.731418624,6.730338024
IDXX,17.84,,17.45,17.645,658.0599975585938,657.87,-0.03,52.64789504,52.63269462048
IEX,11.38,4.32,7.77,7.77,158.25999450683594,158.28,0.01,11.91496704,11.91647321088
IFF,26.12,8.1,9.37,9.37,63.560001373291016,63.23,-0.52,16.28960256,16.205027515839998
ILMN,14.72,,7.76,11.24,94.55999755859375,94.66,0.11,14.96884736,14.984678
INCY,42.81,,16.49,29.65,78.38999938964844,78.36,-0.04,15.307685888,15.30182736
INFA,-0.4,,3.55,1.575,24.670000076293945,24.68,0.04,7.515567616,6.43145992
INGM,,,12.32,12.32,18.760000228881836,18.64,-0.64,4.405673472,4.37749216
INGR,16.58,5.94,13.63,13.63,126.23999786376953,126.24,0.0,8.118620672,8.11862064
INSP,0.63,,0.96,0.7949999999999999,79.13999938964844,83.3,5.26,2.340510208,2.46353919
INTC,613.47,,106.62,360.045,19.950000762939453,19.9,-0.25,87.32114944,87.1022987264
INTU,45.0,36.76,78.9,45.0,749.0,750.97,0.26,208.93130752,209.48083459776
INVH,62.48,14.83,6.7,14.83,29.950000762939453,29.96,0.03,18.359590912,18.36571968
IONS,-24.01,,-3.08,-13.545000000000002,41.63999938964844,41.86,0.53,6.637041664,6.67210759488
IP,48.15,34.85,20.45,34.85,47.54999923706055,47.58,0.06,25.105545216,25.121384321279997
IPG,22.12,12.1,19.22,19.22,24.90999984741211,24.85,-0.24,9.123685376,9.101709702399999
IPGP,,,1.71,1.71,75.26000213623047,75.33,0.09,3.177469696,3.180425067
IQV,71.65,,25.32,48.485,179.86000061035156,180.06,0.11,30.57619968,30.6102
IR,20.26,0.47,16.08,16.08,75.88999938964844,75.98,0.12,30.162706432,30.19847833216
IRDM,10.61,2.33,3.7,3.7,23.809999465942383,23.84,0.13,2.526574336,2.52975776
IRM,90.9,14.81,3.93,14.81,90.16000366210938,89.64,-0.58,26.62857728,26.47499472
ISRG,,,47.7,47.7,470.0799865722656,470.25,0.04,168.512864256,168.573805488
ITT,13.45,1.66,7.31,7.31,165.6699981689453,165.81,0.08,12.922259456,12.93318
ITW,59.7,35.38,37.65,37.65,256.989990234375,256.9,-0.04,74.912579584,74.88635
IVZ,17.46,6.09,11.03,11.03,20.719999313354492,20.71,-0.05,9.240374272,9.23591444
J,33.72,4.05,10.92,10.92,148.16000366210938,147.76,-0.27,17.710454784,17.66263936
JAZZ,-8.96,,17.5,4.27,111.30000305175781,111.74,0.4,6.751324672,6.778014312
JBHT,33.43,2.78,13.74,13.74,139.44000244140625,139.68,0.17,13.497694208,13.52092566528
JBL,63.05,1.24,29.16,29.16,224.33999633789062,225.0,0.29,24.075943936,24.146775
JCI,57.61,15.51,30.08,30.08,105.55000305175781,105.59,0.04,69.070340096,69.09651468416
JEF,-23.34,5.65,,-8.844999999999999,58.47999954223633,58.56,0.14,12.063254528,12.0797568
JHG,5.65,4.3,8.88,5.65,42.68000030517578,42.69,0.02,6.657184256,6.65874385152
JHX,14.71,,8.72,11.715,28.209999084472656,28.27,0.21,16.33906176,16.37381392768
JLL,,,10.0,10.0,278.2099914550781,277.51,-0.25,13.181923328,13.148756812
JNJ,883.75,1179.12,370.51,883.75,173.3300018310547,173.12,-0.12,417.437581312,416.93181526016
JPM,,358.22,,358.22,288.760009765625,288.84,0.03,794.017857536,794.2377946214399
K,58.65,54.33,19.18,54.33,80.06999969482422,80.08,0.01,27.837855744,27.84133287936
KBR,13.02,2.29,4.7,4.7,49.880001068115234,49.85,-0.06,6.426638848,6.4227737
KD,25.75,,17.14,21.445,30.690000534057617,30.29,-1.3,7.093809664,7.00135176
KDP,62.86,53.44,28.59,53.44,34.41999816894531,34.28,-0.41,46.75749888,46.56732100608
KEX,20.48,,6.79,13.635,99.62000274658203,99.63,0.01,5.58868224,5.589243
KEY,,20.81,,20.81,17.610000610351562,17.6,-0.06,19.309717504,19.298750873600003
KEYS,12.79,,17.43,15.11,164.9600067138672,165.13,0.1,28.391100416,28.42035784896
KHC,195.25,169.79,51.61,169.79,27.760000228881836,27.71,-0.18,32.856735744,32.797556
