Ticker,Beta,Cost of Equity,Cost of Debt,WACC,Growth_Rate,Last_Projected_FCFF,DCF Value (B)
NSA,1.127,0.0961,0.0192,0.065,0.0,1180837159.29,25.29
NSC,1.297,0.1043,0.0358,0.0916,0.05,9976078420.02,133.19
NTAP,1.438,0.111,0.0196,0.0999,0.0,1235017353.58,14.92
NTNX,0.707,0.0759,0.0533,0.0746,0.0,644687000.0,11.38
NTRA,1.756,0.1263,0.0165,0.1242,0.0,-194908000.0,-1.81
NTRS,1.299,0.1044,0.0026,0.0808,,,
NU,1.059,0.0928,1.7601,0.0974,,,
NUE,1.751,0.126,0.0227,0.1104,0.05,12968329964.03,136.96
NVDA,2.145,0.145,0.0158,0.1447,0.09,61362756619.53,463.62
NVR,0.941,0.0872,0.0264,0.083,0.07,2102627722.32,31.83
NVST,1.006,0.0903,0.0293,0.0718,0.0,378800000.0,7.05
NVT,1.353,0.1069,0.0236,0.101,0.05,614150378.68,7.24
NWL,0.941,0.0872,0.0367,0.0504,0.0,1098107692.31,34.78
NWS,1.24,0.1015,0.0101,0.0835,0.0,651167930.66,9.89
NWSA,1.24,0.1015,0.0101,0.0835,0.0,651167930.66,9.89
NXST,1.029,0.0914,0.03,0.0565,0.0063,1899587953.61,50.09
NYT,1.085,0.0941,0.0097,0.0935,0.0,243542777.44,3.2
O,0.768,0.0789,0.0158,0.0642,,,
OC,1.321,0.1054,0.0319,0.0903,0.05,3503353648.61,47.64
ODFL,1.247,0.1019,0.0137,0.1016,0.0,2710134685.55,32.06
OGE,0.57,0.0694,0.0257,0.054,0.03,2392481037.32,67.57
OGN,0.565,0.0691,0.0223,0.032,0.08,2612642688.0,208.87
OHI,0.659,0.0736,0.0353,0.062,,,
OKE,0.99,0.0895,0.0422,0.0788,0.04,8014468248.97,130.61
OKTA,0.798,0.0803,0.0354,0.0753,0.0,374652173.91,6.53
OLED,1.472,0.1127,,,0.0621,366112340.12,
OLLI,0.399,0.0612,,,0.06,260169242.64,
OLN,1.533,0.1156,0.0871,0.0987,0.0,954982498.24,11.71
OMC,0.957,0.0879,0.0241,0.0675,0.0,1273173970.67,25.83
OMF,1.216,0.1004,0.0417,0.0577,,,
ON,1.449,0.1116,0.0333,0.1009,0.0567,1508109772.19,17.79
ONON,2.241,0.1496,0.0105,0.1479,0.07,121535569.65,0.9
ONTO,1.436,0.1109,,,0.09,121067262.07,
ORCL,1.431,0.1107,0.0287,0.1027,0.0272,45880526344.09,532.42
ORI,0.801,0.0804,0.0279,0.0727,,,
ORLY,0.559,0.0688,0.0195,0.0657,0.0649,5282767686.2,110.52
OSK,1.424,0.1104,0.0465,0.1048,,,
OTIS,0.943,0.0873,,,0.0,2051205002.45,
OVV,1.115,0.0955,0.0465,0.0778,,,
OXY,0.914,0.0859,0.042,0.0679,,,
OZK,0.869,0.0837,0.0527,0.078,,,
PAG,0.862,0.0834,0.0117,0.0578,0.07,2556995884.97,64.7
