ticker,forecast_id,forecast_price_30d,forecast_market_cap_b,forecast_change_%
WCC,292,204.55,9.953955285,0.13
WDC,293,75.06,26.18678388096,0.12
WEC,294,110.35,35.517911334400004,0.0
WELL,295,168.07,112.40958313088,0.02
WFRD,296,55.42,3.9810957,-0.04
WH,297,83.96,6.410866551999999,0.0
WHR,298,83.65,4.67556656,-0.07
WING,299,316.3,8.83229794,0.3
WLK,300,79.03,10.13528138,0.04
WM,301,234.65,94.5240632544,-0.19
WMB,302,58.05,70.88950085759998,0.28
WMS,303,131.74,10.243127524,0.25
WMT,304,103.24,823.89857071104,-0.47
WSC,305,24.37,4.43716794496,0.08
WSM,306,199.79,24.57377042,0.19
WSO,307,410.73,14.328398196,-0.02
WST,308,240.95,17.326062971200002,-0.01
WTRG,309,38.77,10.87378281984,-0.03
WTW,310,327.18,31.91575464,-0.2
WU,311,8.04,2.59665474432,0.0
WWD,312,248.35,14.89260577,-0.04
WYNN,313,106.42,11.06523234,0.01
XRAY,314,12.98,2.58930232,0.15
