ticker,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,forecast_price_30d,current_price,forecast_change_%,current_market_cap_B,forecast_market_cap_B
RVTY,-0.5192,-0.1283,0.3342,-0.38,86.93,86.83999633789062,0.1,10.079778816,10.09022589
REXR,-0.3248,-0.0597,0.2797,-0.21,36.73,36.720001220703125,0.03,8.991039488,8.69296256
REYN,-0.1275,-0.0116,0.2128,-0.05,22.78,22.850000381469727,-0.31,4.8059264,4.79120331776
ROK,0.1266,0.0835,0.3258,0.26,332.98,333.2300109863281,-0.08,37.466382336,37.43827332
ROL,0.6583,0.1581,0.2475,0.64,58.58,58.63999938964844,-0.1,28.419289088,28.3902112
ROP,0.1404,0.0539,0.2037,0.26,535.54,534.3800048828125,0.22,57.506770944,57.63160155999999
ROST,0.2124,0.0958,0.3048,0.31,144.92,145.22000122070312,-0.21,47.497252864,47.39913047935999
RCL,2.7934,0.4532,0.4852,0.93,299.63,301.44000244140625,-0.6,81.879547904,81.38789764
RPM,0.4831,0.1339,0.2633,0.51,119.59,119.6500015258789,-0.05,15.360188416,15.35248584
RTX,0.9341,0.1946,0.2381,0.82,155.09,154.86000061035156,0.15,207.286304768,207.59417356288
R,1.4943,0.2826,0.3264,0.87,177.55,177.6999969482422,-0.08,7.248489472,7.24237103
SPGI,0.3185,0.0978,0.2374,0.41,557.46,556.8699951171875,0.11,170.012409856,170.192538
SWKS,-0.5701,-0.1302,0.4027,-0.32,70.81,71.08000183105469,-0.38,10.550262784,10.51018668
SJM,-0.0433,0.0175,0.2375,0.07,110.64,110.72000122070312,-0.07,11.812052992,11.80351776
SNA,0.5663,0.1432,0.2458,0.58,321.57,321.79998779296875,-0.07,16.78618112,16.774184538
SGI,0.79,0.2231,0.39,0.57,74.87,74.94999694824219,-0.11,15.633444864,15.61675835104
SO,0.6781,0.1488,0.1919,0.78,94.7,94.69000244140624,0.01,104.163745792,104.1747395456
LUV,-0.3818,-0.0524,0.3696,-0.14,29.61,29.6200008392334,-0.03,15.556069376,15.55081668
SPB,-0.2318,0.002,0.3744,0.01,56.38,56.33000183105469,0.09,1.363580416,1.36479066
SSNC,0.1844,0.0719,0.242,0.3,86.79,86.80000305175781,-0.01,21.198383104,21.19593989568
