ticker,dcf_market_cap_B,ddm_market_cap_B,multiples_market_cap_B,median_market_cap_B,current_price,forecast_price_30d,forecast_change_%,current_market_cap_B,forecast_market_cap_B,sector,buy?
GOOGL,3036.94,126.15,1842.16,1842.16,201.4199981689453,200.26,-0.58,2439.619280896,1164.9124071833598,Communication Services,No
GWW,42.09,7.71,27.66,27.66,950.1300048828124,949.39,-0.08,45.446807552,45.411412358,Industrials,No
H,-0.31,0.51,4.1,0.51,135.86000061035156,135.89,0.02,12.972592128,5.699729392999999,Consumer Cyclical,No
HII,24.83,12.73,7.34,12.73,264.69000244140625,264.94,0.09,10.386594816,10.396404564,Industrials,Yes
HPQ,124.58,33.47,60.04,60.04,26.11000061035156,26.05,-0.23,24.524419072,24.4680622752,Technology,Yes
HUBB,21.63,5.96,11.9,11.9,418.6499938964844,420.15,0.36,22.247061504,22.326771,Industrials,No
HUN,36.69,4.99,0.92,4.99,9.460000038146973,9.45,-0.11,1.643693952,1.6419563999999998,Basic Materials,Yes
HWM,20.84,2.75,18.5,18.5,180.75,180.59,-0.09,72.865030144,72.80052722944001,Industrials,No
IBM,331.09,1489.77,157.64,331.09,242.27000427246097,242.06,-0.09,225.67911424,225.48348333056,Technology,Yes
ICE,93.2,25.22,40.5,40.5,186.3999938964844,186.25,-0.08,106.699636736,106.61377928,Financial Services,No
IDA,42.16,4.98,1.88,4.98,124.58000183105467,124.56,-0.02,6.731418624,6.730338024,Utilities,No
IEX,11.38,4.32,7.77,7.77,158.25999450683594,158.28,0.01,11.91496704,11.91647321088,Industrials,No
IFF,26.12,8.1,9.37,9.37,63.560001373291016,63.23,-0.52,16.28960256,16.205027515839998,Basic Materials,No
INGR,16.58,5.94,13.63,13.63,126.23999786376952,126.24,0.0,8.118620672,8.11862064,Consumer Defensive,Yes
INTU,45.0,36.76,78.9,45.0,749.0,750.97,0.26,208.93130752,209.48083459776,Technology,No
INVH,62.48,14.83,6.7,14.83,29.950000762939453,29.96,0.03,18.359590912,18.36571968,Real Estate,No
IP,48.15,34.85,20.45,34.85,47.54999923706055,47.58,0.06,25.105545216,25.121384321279997,Consumer Cyclical,Yes
IPG,22.12,12.1,19.22,19.22,24.90999984741211,24.85,-0.24,9.123685376,9.1017097024,Communication Services,Yes
IR,20.26,0.47,16.08,16.08,75.88999938964844,75.98,0.12,30.162706432,30.19847833216,Industrials,No
IRDM,10.61,2.33,3.7,3.7,23.809999465942383,23.84,0.13,2.526574336,2.52975776,Communication Services,Yes
IRM,90.9,14.81,3.93,14.81,90.16000366210938,89.64,-0.58,26.62857728,26.47499472,Real Estate,No
ITT,13.45,1.66,7.31,7.31,165.6699981689453,165.81,0.08,12.922259456,12.93318,Industrials,No
ITW,59.7,35.38,37.65,37.65,256.989990234375,256.9,-0.04,74.912579584,74.88635,Industrials,No
IVZ,17.46,6.09,11.03,11.03,20.719999313354492,20.71,-0.05,9.240374272,9.23591444,Financial Services,Yes
J,33.72,4.05,10.92,10.92,148.16000366210938,147.76,-0.27,17.710454784,17.66263936,Industrials,No
JBHT,33.43,2.78,13.74,13.74,139.44000244140625,139.68,0.17,13.497694208,13.52092566528,Industrials,Yes
JBL,63.05,1.24,29.16,29.16,224.33999633789065,225.0,0.29,24.075943936,24.146775,Technology,Yes
JCI,57.61,15.51,30.08,30.08,105.5500030517578,105.59,0.04,69.070340096,69.09651468416,Industrials,No
JHG,5.65,4.3,8.88,5.65,42.68000030517578,42.69,0.02,6.657184256,6.65874385152,Financial Services,No
JNJ,883.75,1179.12,370.51,883.75,173.3300018310547,173.12,-0.12,417.437581312,416.93181526016,Healthcare,Yes
K,58.65,54.33,19.18,54.33,80.06999969482422,80.08,0.01,27.837855744,27.84133287936,Consumer Defensive,Yes
KBR,13.02,2.29,4.7,4.7,49.880001068115234,49.85,-0.06,6.426638848,6.4227737,Industrials,No
KDP,62.86,53.44,28.59,53.44,34.41999816894531,34.28,-0.41,46.75749888,46.56732100608,Consumer Defensive,Yes
KHC,195.25,169.79,51.61,169.79,27.760000228881836,27.71,-0.18,32.856735744,32.797556,Consumer Defensive,Yes
KLAC,33.67,26.4,78.45,33.67,914.7999877929688,913.05,-0.19,120.974065664,120.74264505,Technology,No
KMB,146.56,94.68,36.22,94.68,136.16000366210938,135.94,-0.16,45.175164928,45.1021732,Consumer Defensive,Yes
KNX,37.89,2.07,7.67,7.67,41.11000061035156,41.24,0.32,6.67223552,6.69333448,Industrials,Yes
KR,228.68,32.26,70.55,70.55,74.23999786376953,74.07,-0.23,49.084219392,48.97182254975999,Consumer Defensive,Yes
KRC,43.57,3.69,2.17,3.69,37.810001373291016,37.7,-0.29,4.516215808,4.4596838,Real Estate,No
KSS,85.43,0.9,7.72,7.72,11.119999885559082,11.13,0.09,1.245907072,1.24702746,Consumer Cyclical,Yes
KVUE,73.66,41.75,32.06,41.75,21.34000015258789,21.37,0.14,40.95295488,41.010524874240005,Consumer Defensive,Yes
LDOS,45.13,58.92,29.45,45.13,176.5,176.78,0.16,22.644420608,22.68034366,Technology,Yes
LEA,39.71,3.86,16.94,16.94,95.88999938964844,95.85,-0.04,5.101933056,5.099804685,Consumer Cyclical,Yes
LEG,10.61,1.73,2.95,2.95,8.600000381469727,8.59,-0.12,1.164018688,1.16266515872,Consumer Cyclical,Yes
LEN,73.3,10.73,54.38,54.38,120.8499984741211,120.62,-0.19,31.143890944,27.45335324,Consumer Cyclical,Yes
LH,22.36,8.87,18.29,18.29,265.8500061035156,265.2,-0.24,22.092136448,22.03812,Healthcare,No
LHX,58.01,23.94,28.68,28.68,269.7200012207031,269.86,0.05,50.463264768,50.489458858880006,Industrials,No
LNG,361.97,13.95,28.47,28.47,230.8300018310547,232.02,0.52,50.729046016,50.99057136,Energy,No
LNT,101.07,14.31,5.34,14.31,65.63999938964844,65.66,0.03,16.867444736,16.86647816,Utilities,No
LRCX,49.23,24.14,94.96,49.23,101.75,101.43,-0.31,129.094295552,128.68829495424,Technology,No
LSTR,4.8,1.33,2.97,2.97,127.08000183105467,127.57,0.39,4.403766784,4.420746995,Industrials,No
LUV,131.01,6.34,15.17,15.17,29.6200008392334,29.61,-0.03,15.556069376,15.55081668,Industrials,No
LVS,167.71,21.81,34.83,34.83,52.630001068115234,52.62,-0.02,36.128075776,36.12121032192,Consumer Cyclical,No
LW,37.02,8.53,9.91,9.91,51.54999923706055,51.8,0.48,7.183750656,7.218589414399999,Consumer Defensive,Yes
LYB,152.39,42.03,12.83,42.03,49.060001373291016,49.3,0.49,15.780050944,15.8572464,Basic Materials,Yes
M,47.69,3.06,12.42,12.42,12.079999923706056,12.08,0.0,3.280203264,3.2802032,Consumer Cyclical,Yes
MMM,47.29,29.41,48.96,47.29,153.3000030517578,153.09,-0.14,81.652187136,81.54032914944,Industrials,No
MO,221.53,223.42,117.38,221.53,64.19000244140625,64.04,-0.23,107.832147968,107.58015867392,Consumer Defensive,Yes
MORN,8.26,2.11,4.93,4.93,258.9200134277344,259.23,0.12,10.920650752,10.933725171,Financial Services,No
MSA,6.51,1.81,4.3,4.3,174.17999267578125,174.27,0.05,6.817962496,6.821485464,Industrials,No
MSCI,24.43,10.84,12.62,12.62,546.6799926757812,548.07,0.25,42.29400576,42.401545164000005,Financial Services,No
MSI,19.73,41.13,43.58,41.13,453.4100036621094,452.99,-0.09,75.539922944,75.46994596,Technology,No
MSM,11.87,4.52,3.61,4.52,86.0999984741211,86.04,-0.07,4.793686528,4.790345832,Industrials,No
MTN,27.8,13.85,7.64,13.85,148.72000122070312,148.74,0.01,5.525304832,5.526047976,Consumer Cyclical,Yes
MUSA,43.14,17.39,9.53,17.39,377.8999938964844,376.64,-0.33,7.290597888,7.266289536,Consumer Cyclical,Yes
NDAQ,45.4,16.11,19.17,19.17,96.8499984741211,96.87,0.02,55.572045824,55.58352242496,Financial Services,No
NDSN,11.76,4.08,5.95,5.95,211.0399932861328,211.16,0.06,11.925638144,11.932419324,Industrials,No
NEE,563.04,115.83,40.33,115.83,72.41000366210938,72.43,0.03,149.113192448,149.15437354112004,Utilities,No
NEM,186.28,66.17,94.21,94.21,68.9800033569336,68.74,-0.35,75.7710848,75.50745629951999,Basic Materials,Yes
NEU,19.27,4.39,5.87,5.87,738.1699829101562,735.49,-0.36,6.936302592,6.9111200438,Basic Materials,No
NFE,170.85,1.8,-5.71,1.8,2.7200000286102295,2.73,0.37,0.745818624,0.74856058368,Energy,Yes
NI,190.39,14.42,8.33,14.42,42.279998779296875,42.32,0.09,19.907749888,19.92658393856,Utilities,No
NOC,354.27,153.56,48.85,153.56,581.1099853515625,581.77,0.11,83.20507904,83.29957856416,Industrials,Yes
NOV,25.22,2.58,6.41,6.41,11.899999618530272,11.92,0.17,4.419243008,4.42667070464,Energy,Yes
NRG,54.59,5.26,9.39,9.39,152.5399932861328,151.86,-0.45,29.505964032,29.37443287488,Utilities,No
NSA,25.29,2.73,1.2,2.73,29.760000228881836,29.73,-0.1,4.378023424,2.28222345,Real Estate,No
NSC,133.19,19.61,44.57,44.57,280.0299987792969,280.0,-0.01,62.825848832,62.81912,Industrials,No
NTAP,14.92,10.86,24.63,14.92,106.20999908447266,106.28,0.07,21.25251584,21.266522570240003,Technology,No
NUE,136.96,6.14,26.8,26.8,138.97999572753906,139.02,0.03,32.069773312,32.079005132160006,Basic Materials,No
NVDA,463.62,13.92,1349.46,463.62,182.6999969482422,182.17,-0.29,4456.467922944,4442.689161953279,Technology,No
NVT,7.24,2.0,5.44,5.44,88.68000030517578,88.83,0.17,14.272780288,14.29692272064,Industrials,No
NWL,34.78,2.59,3.53,3.53,4.880000114440918,4.87,-0.2,2.045208064,2.041017,Consumer Defensive,Yes
NWS,9.89,0.77,13.87,9.89,32.95000076293945,32.99,0.12,16.94605312,6.21901088,Communication Services,No
NWSA,9.89,1.53,13.87,9.89,28.520000457763672,28.59,0.25,16.946071552,10.76150472,Communication Services,No
NXST,50.09,5.72,15.32,15.32,186.8000030517578,186.74,-0.03,5.662841856,5.6610231,Communication Services,Yes
NYT,3.2,2.78,6.58,3.2,57.4900016784668,57.51,0.03,9.360464896,9.31880538,Communication Services,No
OC,47.64,3.67,20.64,20.64,143.8800048828125,143.94,0.04,12.032339968,12.037356744,Industrials,Yes
ODFL,32.06,3.96,17.9,17.9,144.4600067138672,144.46,-0.0,30.360870912,30.36086928,Industrials,No
OGE,67.57,8.91,6.02,8.91,45.369998931884766,45.36,-0.02,9.137291264,9.13527756288,Utilities,No
OGN,208.87,1.14,12.92,12.92,9.220000267028809,9.24,0.22,2.396886528,2.40208584,Healthcare,Yes
OKE,130.61,44.9,12.11,44.9,74.45999908447266,74.46,0.0,46.891634688,46.891634142719994,Energy,No
OLN,11.71,1.26,3.18,3.18,18.920000076293945,18.92,-0.0,2.16902656,2.16902664,Basic Materials,Yes
OMC,25.83,15.01,28.61,25.83,72.94000244140625,72.79,-0.21,14.130156544,14.10109775232,Communication Services,Yes
ORCL,532.42,147.73,249.84,249.84,250.0500030517578,250.39,0.14,702.347935744,703.3029316812799,Technology,No
PAG,64.7,15.81,9.68,15.81,174.8300018310547,174.32,-0.29,11.54654208,11.512859808,Consumer Cyclical,Yes
PAYC,14.43,8.05,8.0,8.05,229.8500061035156,229.82,-0.01,12.930579456,12.928891812,Technology,No
PAYX,39.35,107.51,34.19,39.35,141.19000244140625,141.03,-0.11,50.862850048,50.80521132,Technology,No
PEG,259.95,37.59,14.58,37.59,87.68000030517578,87.75,0.08,43.759333376,43.79427,Utilities,No
PEGA,5.04,1.76,4.69,4.69,51.220001220703125,51.24,0.04,8.762768384,8.76619003008,Technology,No
